C,SETP.WORLD,DVD_ANCILLARY_RECOVERY_SPLIT,AEMO,PUBLIC,2023/02/07,00:00:08,0000000380287479,,0000000380287479
I,SETTLEMENT_CONFIG,ANCILLARY_RECOVERY_SPLIT,1,EFFECTIVEDATE,VERSIONNO,SERVICE,PAYMENTTYPE,CUSTOMER_PORTION,LASTCHANGED
D,SETTLEMENT_CONFIG,ANCILLARY_RECOVERY_SPLIT,1,"2002/07/01 00:00:00",1,REACTIVE,TESTING,100,"2009/11/18 10:15:18"
D,SETTLEMENT_CONFIG,ANCILLARY_RECOVERY_SPLIT,1,"2002/07/01 00:00:00",1,LOADSHED,TESTING,100,"2009/11/18 10:15:18"
D,SETTLEMENT_CONFIG,ANCILLARY_RECOVERY_SPLIT,1,"2002/07/01 00:00:00",1,RESTART,TESTING,50,"2009/11/18 10:15:18"
D,SETTLEMENT_CONFIG,ANCILLARY_RECOVERY_SPLIT,1,"2000/07/01 00:00:00",1,AGC,ENABLING,50,"2003/06/03 09:46:25"
D,SETTLEMENT_CONFIG,ANCILLARY_RECOVERY_SPLIT,1,"2000/07/01 00:00:00",1,FCASCOMP,COMPENSATION,50,"2003/06/03 09:46:25"
D,SETTLEMENT_CONFIG,ANCILLARY_RECOVERY_SPLIT,1,"2000/07/01 00:00:00",1,GOVERNOR,ENABLING60L,50,"2003/06/03 09:46:25"
D,SETTLEMENT_CONFIG,ANCILLARY_RECOVERY_SPLIT,1,"2000/07/01 00:00:00",1,GOVERNOR,ENABLING60R,50,"2003/06/03 09:46:25"
D,SETTLEMENT_CONFIG,ANCILLARY_RECOVERY_SPLIT,1,"2000/07/01 00:00:00",1,GOVERNOR,ENABLING6L,50,"2003/06/03 09:46:25"
D,SETTLEMENT_CONFIG,ANCILLARY_RECOVERY_SPLIT,1,"2000/07/01 00:00:00",1,GOVERNOR,ENABLING6R,50,"2003/06/03 09:46:25"
D,SETTLEMENT_CONFIG,ANCILLARY_RECOVERY_SPLIT,1,"2000/07/01 00:00:00",1,LOADSHED,COMPENSATION,50,"2003/06/03 09:46:25"
D,SETTLEMENT_CONFIG,ANCILLARY_RECOVERY_SPLIT,1,"2000/07/01 00:00:00",1,LOADSHED,ENABLING,50,"2003/06/03 09:46:25"
D,SETTLEMENT_CONFIG,ANCILLARY_RECOVERY_SPLIT,1,"2000/07/01 00:00:00",1,REACTIVE,AVAILABILITY,50,"2003/06/03 09:46:25"
D,SETTLEMENT_CONFIG,ANCILLARY_RECOVERY_SPLIT,1,"2000/07/01 00:00:00",1,REACTIVE,COMPENSATION,50,"2003/06/03 09:46:25"
D,SETTLEMENT_CONFIG,ANCILLARY_RECOVERY_SPLIT,1,"2000/07/01 00:00:00",1,REACTIVE,ENABLING,50,"2003/06/03 09:46:25"
D,SETTLEMENT_CONFIG,ANCILLARY_RECOVERY_SPLIT,1,"2000/07/01 00:00:00",1,RESTART,AVAILABILITY,50,"2003/06/03 09:46:25"
D,SETTLEMENT_CONFIG,ANCILLARY_RECOVERY_SPLIT,1,"2000/07/01 00:00:00",1,RGUL,COMPENSATION,50,"2003/06/03 09:46:25"
D,SETTLEMENT_CONFIG,ANCILLARY_RECOVERY_SPLIT,1,"2000/07/01 00:00:00",1,RGUL,ENABLING,50,"2003/06/03 09:46:25"
D,SETTLEMENT_CONFIG,ANCILLARY_RECOVERY_SPLIT,1,"2000/07/01 00:00:00",1,RGUL,USAGE,50,"2003/06/03 09:46:25"
D,SETTLEMENT_CONFIG,ANCILLARY_RECOVERY_SPLIT,1,"2000/07/01 00:00:00",1,RGUU,COMPENSATION,50,"2003/06/03 09:46:25"
D,SETTLEMENT_CONFIG,ANCILLARY_RECOVERY_SPLIT,1,"2000/07/01 00:00:00",1,RGUU,ENABLING,50,"2003/06/03 09:46:25"
D,SETTLEMENT_CONFIG,ANCILLARY_RECOVERY_SPLIT,1,"2000/07/01 00:00:00",1,RGUU,USAGE,50,"2003/06/03 09:46:25"
D,SETTLEMENT_CONFIG,ANCILLARY_RECOVERY_SPLIT,1,"2002/07/01 00:00:00",1,AGC,ENABLING,100,"2003/06/03 09:46:25"
D,SETTLEMENT_CONFIG,ANCILLARY_RECOVERY_SPLIT,1,"2002/07/01 00:00:00",1,FCAS,LOWER5MIN,100,"2003/06/03 09:46:25"
