SETTLEMENTDATE,REGIONID,RRP,TOTALDEMAND,NETINTERCHANGE
2025-01-01 00:05:00,NSW1,138.0279,7251.07,355.87
2025-01-01 00:05:00,QLD1,154.30294,6444.99,-479.22
2025-01-01 00:05:00,SA1,141.4772,1379.47,-378.57
2025-01-01 00:05:00,TAS1,125.17761,989.78,-90.71
2025-01-01 00:05:00,VIC1,130.0,4339.0,650.55
2025-01-01 00:10:00,NSW1,134.41651,7297.85,307.06
2025-01-01 00:10:00,QLD1,150.4218,6469.55,-466.7
2025-01-01 00:10:00,SA1,136.58563,1367.61,-385.28
2025-01-01 00:10:00,TAS1,120.28,991.04,-100.0
2025-01-01 00:10:00,VIC1,125.5,4310.79,705.36
2025-01-01 00:15:00,NSW1,135.89,7274.39,323.45
2025-01-01 00:15:00,QLD1,150.07326,6410.01,-409.55
2025-01-01 00:15:00,SA1,142.05217,1379.99,-430.78
2025-01-01 00:15:00,TAS1,129.97176,991.23,-108.39
2025-01-01 00:15:00,VIC1,129.0234,4243.74,678.52
2025-01-01 00:20:00,NSW1,120.30552,7173.05,423.75
2025-01-01 00:20:00,QLD1,132.58249,6344.94,-393.68
2025-01-01 00:20:00,SA1,129.64224,1380.91,-466.92
2025-01-01 00:20:00,TAS1,118.28,985.66,-136.97
2025-01-01 00:20:00,VIC1,116.96976,4269.83,623.41
2025-01-01 00:25:00,NSW1,119.88874,7140.49,462.43
2025-01-01 00:25:00,QLD1,132.07553,6354.61,-403.26
2025-01-01 00:25:00,SA1,129.51666,1369.41,-487.48
2025-01-01 00:25:00,TAS1,118.28,970.26,-143.13
2025-01-01 00:25:00,VIC1,116.49766,4242.11,623.14
2025-01-01 00:30:00,NSW1,121.87,7162.36,437.96
2025-01-01 00:30:00,QLD1,133.38034,6308.87,-361.74
2025-01-01 00:30:00,SA1,134.71659,1379.09,-546.88
2025-01-01 00:30:00,TAS1,118.28,974.7,-113.55
2025-01-01 00:30:00,VIC1,119.44363,4217.03,638.49
2025-01-01 00:35:00,NSW1,111.65192,7078.85,514.49
2025-01-01 00:35:00,QLD1,122.95,6353.95,-398.76
