C,SETP.WORLD,DVD_DISPATCHPRICE,AEMO,PUBLIC,2025/01/10,14:27:20,001736483240144,MONTHLY_ARCHIVE,001736483240144
I,DISPATCH,PRICE,5,SETTLEMENTDATE,RUNNO,REGIONID,DISPATCHINTERVAL,INTERVENTION,RRP,EEP,ROP,APCFLAG,MARKETSUSPENDEDFLAG,LASTCHANGED,RAISE6SECRRP,RAISE6SECROP,RAISE6SECAPCFLAG,RAISE60SECRRP,RAISE60SECROP,RAISE60SECAPCFLAG,RAISE5MINRRP,RAISE5MINROP,RAISE5MINAPCFLAG,RAISEREGRRP,RAISEREGROP,RAISEREGAPCFLAG,LOWER6SECRRP,LOWER6SECROP,LOWER6SECAPCFLAG,LOWER60SECRRP,LOWER60SECROP,LOWER60SECAPCFLAG,LOWER5MINRRP,LOWER5MINROP,LOWER5MINAPCFLAG,LOWERREGRRP,LOWERREGROP,LOWERREGAPCFLAG,PRICE_STATUS,PRE_AP_ENERGY_PRICE,PRE_AP_RAISE6_PRICE,PRE_AP_RAISE60_PRICE,PRE_AP_RAISE5MIN_PRICE,PRE_AP_RAISEREG_PRICE,PRE_AP_LOWER6_PRICE,PRE_AP_LOWER60_PRICE,PRE_AP_LOWER5MIN_PRICE,PRE_AP_LOWERREG_PRICE,CUMUL_PRE_AP_ENERGY_PRICE,CUMUL_PRE_AP_RAISE6_PRICE,CUMUL_PRE_AP_RAISE60_PRICE,CUMUL_PRE_AP_RAISE5MIN_PRICE,CUMUL_PRE_AP_RAISEREG_PRICE,CUMUL_PRE_AP_LOWER6_PRICE,CUMUL_PRE_AP_LOWER60_PRICE,CUMUL_PRE_AP_LOWER5MIN_PRICE,CUMUL_PRE_AP_LOWERREG_PRICE,OCD_STATUS,MII_STATUS,RAISE1SECRRP,RAISE1SECROP,RAISE1SECAPCFLAG,LOWER1SECRRP,LOWER1SECROP,LOWER1SECAPCFLAG,PRE_AP_RAISE1_PRICE,PRE_AP_LOWER1_PRICE,CUMUL_PRE_AP_RAISE1_PRICE,CUMUL_PRE_AP_LOWER1_PRICE
D,DISPATCH,PRICE,5,"2024/12/01 00:05:00",1,NSW1,20241130241,0,105.60921,0,105.60921,0,0,"2024/12/01 00:00:04",0.1,0.1,0,0.05,0.05,0,0.23,0.23,0,5.99,5.99,0,0.1,0.1,0,0.15,0.15,0,0,0,0,3.59,3.59,0,FIRM,105.60921,0.1,0.05,0.23,5.99,0.1,0.15,0,3.59,637412.74502,1353.88385,353.21789,416.13,17287.83833,520.74018,762.13139,289.59,5891.50328,NOT_OCD,NOT_MII,3.52,3.52,0,0.01,0.01,0,3.52,0.01,8494.68588,60.03205
D,DISPATCH,PRICE,5,"2024/12/01 00:05:00",1,QLD1,20241130241,0,114.28712,0,114.28712,0,0,"2024/12/01 00:00:04",0.1,0.1,0,0.05,0.05,0,0.23,0.23,0,5.99,5.99,0,0.1,0.1,0,0.15,0.15,0,0,0,0,3.59,3.59,0,FIRM,114.28712,0.1,0.05,0.23,5.99,0.1,0.15,0,3.59,252979.07918,1329.56185,348.79789,409.66,17171.23833,520.74018,762.13139,289.59,5891.50328,NOT_OCD,NOT_MII,3.52,3.52,0,0.01,0.01,0,3.52,0.01,8494.68588,60.03205
D,DISPATCH,PRICE,5,"2024/12/01 00:05:00",1,SA1,20241130241,0,104.44,0,104.44,0,0,"2024/12/01 00:00:04",0.1,0.1,0,0.05,0.05,0,0.23,0.23,0,5.99,5.99,0,0.1,0.1,0,0.15,0.15,0,0,0,0,3.59,3.59,0,FIRM,104.44,0.1,0.05,0.23,5.99,0.1,0.15,0,3.59,212373.46878,1353.88385,353.21789,416.13,17287.83833,520.74018,762.13139,289.59,5891.50328,NOT_OCD,NOT_MII,3.52,3.52,0,0.01,0.01,0,3.52,0.01,8494.68588,60.03205
D,DISPATCH,PRICE,5,"2024/12/01 00:05:00",1,TAS1,20241130241,0,150.26,0,150.26,0,0,"2024/12/01 00:00:04",7.39631,7.39631,0,50.71632,50.71632,0,0.38,0.38,0,8.66,8.66,0,0.1,0.1,0,0.15,0.15,0,0,0,0,1.98,1.98,0,FIRM,150.26,7.39631,50.71632,0.38,8.66,0.1,0.15,0,1.98,267544.44445,53074.51506,2476.6226,471,26564.62988,1596.98222,735.98481,193.02602,9850.77893,NOT_OCD,NOT_MII,3.52,3.52,0,0,0,0,3.52,0,7581.11362,14.8
D,DISPATCH,PRICE,5,"2024/12/01 00:05:00",1,VIC1,20241130241,0,91.84359,0,91.84359,0,0,"2024/12/01 00:00:04",0.1,0.1,0,0.05,0.05,0,0.23,0.23,0,5.99,5.99,0,0.1,0.1,0,0.15,0.15,0,0,0,0,3.59,3.59,0,FIRM,91.84359,0.1,0.05,0.23,5.99,0.1,0.15,0,3.59,247677.11465,1353.88385,353.21789,416.13,17287.83833,520.74018,762.13139,289.59,5891.50328,NOT_OCD,NOT_MII,3.52,3.52,0,0.01,0.01,0,3.52,0.01,8494.68588,60.03205
D,DISPATCH,PRICE,5,"2024/12/01 00:10:00",1,NSW1,20241130242,0,104.94654,0,104.94654,0,0,"2024/12/01 00:05:04",0.01,0.01,0,0.01,0.01,0,0.1,0.1,0,6,6,0,0.14,0.14,0,0.45,0.45,0,0.1,0.1,0,3.99,3.99,0,FIRM,104.94654,0.01,0.01,0.1,6,0.14,0.45,0.1,3.99,637275.56456,1353.51385,352.99789,416,17278.33833,520.78018,762.20139,289.68,5891.50328,NOT_OCD,NOT_MII,7.32,7.32,0,0.05,0.05,0,7.32,0.05,8494.69588,60.08205
D,DISPATCH,PRICE,5,"2024/12/01 00:10:00",1,QLD1,20241130242,0,112.75,0,112.75,0,0,"2024/12/01 00:05:04",0.01,0.01,0,0.01,0.01,0,0.1,0.1,0,6,6,0,0.14,0.14,0,0.45,0.45,0,0.1,0.1,0,3.99,3.99,0,FIRM,112.75,0.01,0.01,0.1,6,0.14,0.45,0.1,3.99,252866.07918,1329.19185,348.57789,409.53,17161.73833,520.78018,762.20139,289.68,5891.50328,NOT_OCD,NOT_MII,7.32,7.32,0,0.05,0.05,0,7.32,0.05,8494.69588,60.08205
D,DISPATCH,PRICE,5,"2024/12/01 00:10:00",1,SA1,20241130242,0,104.44,0,104.44,0,0,"2024/12/01 00:05:04",0.01,0.01,0,0.01,0.01,0,0.1,0.1,0,6,6,0,0.14,0.14,0,0.45,0.45,0,0.1,0.1,0,3.99,3.99,0,FIRM,104.44,0.01,0.01,0.1,6,0.14,0.45,0.1,3.99,212247.71327,1353.51385,352.99789,416,17278.33833,520.78018,762.20139,289.68,5891.50328,NOT_OCD,NOT_MII,7.32,7.32,0,0.05,0.05,0,7.32,0.05,8494.69588,60.08205
D,DISPATCH,PRICE,5,"2024/12/01 00:10:00",1,TAS1,20241130242,0,100.16,0,100.16,0,0,"2024/12/01 00:05:04",3.23361,3.23361,0,3,3,0,0.38,0.38,0,10.66,10.66,0,0,0,0,0,0,0,0,0,0,1.98,1.98,0,FIRM,100.16,3.23361,3,0.38,10.66,0,0,0,1.98,267432.04984,53077.36867,2479.3926,471.15,26545.43527,1596.88222,735.60481,193.01602,9848.76893,NOT_OCD,NOT_MII,7.32,7.32,0,0,0,0,7.32,0,7581.12362,14.8
D,DISPATCH,PRICE,5,"2024/12/01 00:10:00",1,VIC1,20241130242,0,91.36789,0,91.36789,0,0,"2024/12/01 00:05:04",0.01,0.01,0,0.01,0.01,0,0.1,0.1,0,6,6,0,0.14,0.14,0,0.45,0.45,0,0.1,0.1,0,3.99,3.99,0,FIRM,91.36789,0.01,0.01,0.1,6,0.14,0.45,0.1,3.99,247542.22873,1353.51385,352.99789,416,17278.33833,520.78018,762.20139,289.68,5891.50328,NOT_OCD,NOT_MII,7.32,7.32,0,0.05,0.05,0,7.32,0.05,8494.69588,60.08205
